Type	Track_id	Similarity	Link	Genre	Title	Artist	Album	Score	Main_id	Evaluator
Main	20433	Main	https://melody.dvstr.net/song/20433	International	Drifting	Midival Punditz	Hello Hello	1	20433	2
Similar_1	133066	VS			Nuevos ritos	Melange	Melange	0.95	20433	2
Similar_2	109473	S			Music Industry Event	The Pink Tiles	Live on WFMU's Surface Noise with Joe McGasko: Oct 2		20433	2
Similar_3	66326	S			E-Love	The Upsidedown	Dead Bees records label sampler #11	0.93	20433	2
Similar_4	148620	D			Decay of	2L8	The Answer	0.93	20433	2
Similar_5	64297	S			The Fantastic Doctrine	The New Mystikal Troubadours	III	0.93	20433	2
Main	92831	Main	https://melody.dvstr.net/song/92831	Blues	R. I. P.	Mr. & Mrs. Smith	October	1	92831	2
Similar_1	104710	VS			Stuck there now	Mr. & Mrs. Smith	Pearls of Wisdom	0.95	92831	2
Similar_2	92841	VS			Weekend Coma	Mr. & Mrs. Smith	October	0.94	92831	2
Similar_3	90040	VS			20/40	Mr. & Mrs. Smith	August	0.94	92831	2
Similar_4	91531	VS			Cerebral Yuck	Mr. & Mrs. Smith	September	0.94	92831	2
Similar_5	104711	S			This old dog has new tricks	Mr. & Mrs. Smith	Pearls of Wisdom	0.94	92831	2
Main	90915	Main	https://melody.dvstr.net/song/90915	Jazz	Plunky	Jared C. Balogh	Split with Koobaatoo Asparagus	1	90915	2
Similar_1	124533	D			Opium	Leisure-B	Live In Space	0.92	90915	2
Similar_2	132266	D			ab normal	W.H.Y.	We Hate You	0.91	90915	2
Similar_3	32509	N			Motego	Brainpain	Terra Firma	0.91	90915	2
Similar_4	27794	D			He-Man (Synthpop mix)	Zapac	Secret Mixter Selections March 2010	0.91	90915	2
Similar_5	24455	D			Radio edit	DRONE	Hifi Power Break Pop	0.91	90915	2
Main	151717	Main	https://melody.dvstr.net/song/151717	Classical	? ????????	Kosta T	??????	1	151717	2
Similar_1	144765	VS			??????	Kosta T	????	0.94	151717	2
Similar_2	151720	VS			??????	Kosta T	??????	0.94	151717	2
Similar_3	145662	VS			????	Kosta T	???	0.94	151717	2
Similar_4	132104	VS			??????.....	Kosta T	?????...	0.94	151717	2
Similar_5	133192	VS			??????.....	Kosta T	?????...	0.94	151717	2
Main	20736	Main	https://melody.dvstr.net/song/20736	Old-Time / Historic	Take It 'Cause It's All Yours	Edith Wilson and Johnny Dunn's Original Jazz Hounds	Antique Phonograph Music Program 07/14/2009	1	20736	2
Similar_1	20135	VS			Some Boy	Kate Wiley	Antique Phonograph Music Program 03/30/1999	0.94	20736	2
Similar_2	20741	VS			Evening Chimes	Venetian Trio	Antique Phonograph Music Program 07/14/2009	0.94	20736	2
